날짜,종가,전일비,외국인,기관
06/11,96900.0,"상향  2,400",179472.0,66163.0
06/10,94500.0,하향  800,49581.0,-26730.0
06/09,95300.0,"상향  2,200",223102.0,-50193.0
06/05,93100.0,"상향  3,500",488013.0,147878.0
06/04,89600.0,"상향  1,200",-49142.0,-44208.0
06/02,88400.0,"하향  1,000",-214188.0,-94661.0
