매도상위,거래량,매수상위,거개량
키움증권,90741.0,신한투자증권,107788.0
한국투자증권,69918.0,메리츠증권,58790.0
삼성증권,43726.0,한국투자증권,47892.0
신한투자증권,40924.0,미래에셋증권,46369.0
NH투자증권,38067.0,iM증권,37866.0
외국계추정합,700.0,+14501,15201.0
