매도상위,거래량,매수상위,거개량
한국투자증권,29434.0,한국투자증권,83583.0
신한투자증권,27510.0,맥쿼리,24730.0
NH투자증권,24919.0,미래에셋증권,22145.0
제이피모간,24775.0,삼성증권,20550.0
삼성증권,20824.0,NH투자증권,18887.0
외국계추정합,39584.0,-14854,24730.0
