날짜,종가,전일비,외국인,기관
06/11,59900.0,상향  700,2238422.0,407231.0
06/10,59200.0,하향  600,-919634.0,-294787.0
06/09,59800.0,상향  700,5142150.0,-2161043.0
06/05,59100.0,"상향  1,300",4779805.0,2319804.0
06/04,57800.0,"상향  1,000",2084317.0,1167290.0
06/02,56800.0,상향  600,882779.0,-600990.0
