매도상위,거래량,매수상위,거개량
키움증권,1447399.0,키움증권,1571234.0
삼성증권,839377.0,한국투자증권,679897.0
미래에셋증권,655003.0,신한투자증권,636096.0
신한투자증권,639025.0,미래에셋증권,586732.0
한국투자증권,573113.0,KB증권,479197.0
외국계추정합,75113.0,+257699,332812.0
