매도상위,거래량,매수상위,거개량
신한투자증권,121426.0,노무라,95989.0
한국투자증권,56325.0,메릴린치,73911.0
삼성증권,47663.0,UBS,49996.0
제이피모간,44828.0,신한투자증권,49943.0
NH투자증권,43436.0,홍콩상하이,41710.0
외국계추정합,54014.0,+216637,270651.0
