날짜,종가,전일비,외국인,기관
06/11,13720.0,하향  10,10518.0,-8974.0
06/10,13730.0,상향  90,22779.0,-13269.0
06/09,13640.0,상향  210,98915.0,-54715.0
06/05,13430.0,하향  300,4118.0,-12780.0
06/04,13730.0,상향  290,-6766.0,99385.0
06/02,13440.0,상향  390,36646.0,91049.0
