날짜,종가,전일비,외국인,기관
06/11,79400.0,상향  500,-561769.0,139575.0
06/10,78900.0,"상향  3,300",1164020.0,184527.0
06/09,75600.0,"하향  2,400",-735266.0,-276551.0
06/05,78000.0,"상향  1,200",550568.0,14789.0
06/04,76800.0,"하향  1,000",-188698.0,-146525.0
06/02,77800.0,하향  200,-142654.0,-172659.0
