종목명,현재가,전일대비,등락률
노머스,"30,100","하락 -2,250",-6.96%
엑시콘,"11,800",하락 -600,-4.84%
나이벡,"26,200","하락 -1,300",-4.73%
디어유,"53,900","하락 -2,500",-4.43%
예스24,"4,300",하락 -185,-4.12%
아티스트스튜디오,"18,140",하락 -780,-4.12%
아티스트컴퍼니,"12,350",하락 -530,-4.11%
JYP Ent.,"78,100","하락 -3,300",-4.05%
미원에스씨,"157,100","하락 -6,200",-3.80%
대웅,"26,850","하락 -1,000",-3.59%
두산밥캣,"51,000","하락 -1,700",-3.23%
YG PLUS,"6,920",하락 -230,-3.22%
동성화인텍,"25,800",하락 -850,-3.19%
GS리테일,"17,080",하락 -550,-3.12%
롯데관광개발,"13,070",하락 -410,-3.04%
