종목명,현재가,전일대비,등락률
KODEX 200선물인버스2X,"1,621",하락 44,-2.64%
이스트아시아홀딩스,61,상승 6,+10.91%
씨엑스아이,68,상승 7,+11.48%
더즌,"3,610",상승 280,+8.41%
KODEX 인버스,"3,865",하락 50,-1.28%
한국정보인증,"9,070","상승 1,370",+17.79%
엠에프엠코리아,30,상승 11,+57.89%
파루,"1,674",상승 386,+29.97%
KODEX 코스닥150레버리지,"8,300",상승 415,+5.26%
대성파인텍,"1,243",상승 158,+14.56%
제넨바이오,61,상승 40,+190.48%
지씨지놈,"11,080",상승 580,+5.52%
미스터블루,"1,887",상승 23,+1.23%
오가닉티코스메틱,532,상승 102,+23.72%
KODEX 코스닥150선물인버스,"3,592",하락 93,-2.52%
