종목명,현재가,전일대비,등락률
제넨바이오,61,상승 40,+190.48%
엠에프엠코리아,30,상승 11,+57.89%
오브젠,"16,120","상한가 3,720",+30.00%
파루,"1,674",상한가 386,+29.97%
웰크론한텍,"1,752",상한가 404,+29.97%
케이사인,"12,930","상한가 2,980",+29.95%
애드바이오텍,"4,195",상한가 965,+29.88%
그린생명과학,"4,065",상한가 935,+29.87%
예림당,"4,215",상승 930,+28.31%
폰드그룹,"10,310","상승 2,120",+25.89%
오가닉티코스메틱,532,상승 102,+23.72%
PS일렉트로닉스,"3,385",상승 620,+22.42%
내츄럴엔도텍,"5,170",상승 895,+20.94%
티사이언티픽,"1,136",상승 196,+20.85%
아이티센글로벌,"21,050","상승 3,620",+20.77%
